"Date","Price","Open","High","Low","Change %"
"Jul 11, 2008","51.28","51.28","51.28","51.28","-1.12"
"Jul 10, 2008","51.86","51.86","51.86","51.86","0.70"
"Jul 09, 2008","51.50","51.50","51.50","51.50","-1.09"
"Jul 08, 2008","52.07","52.07","52.07","52.07","1.03"
"Jul 07, 2008","51.54","51.54","51.54","51.54","-0.48"
"Jul 03, 2008","51.79","51.79","51.79","51.79","0.00"
"Jul 02, 2008","51.79","51.79","51.79","51.79","-1.09"
"Jul 01, 2008","52.36","52.36","52.36","52.36","0.02"
"Jun 30, 2008","52.35","52.35","52.35","52.35","0.29"
"Jun 27, 2008","52.20","52.20","52.20","52.20","-0.13"
"Jun 26, 2008","52.27","52.27","52.27","52.27","-2.50"
"Jun 25, 2008","53.61","53.61","53.61","53.61","0.37"
"Jun 24, 2008","53.41","53.41","53.41","53.41","-0.07"
"Jun 23, 2008","53.45","53.45","53.45","53.45","0.09"
"Jun 20, 2008","53.40","53.40","53.40","53.40","-1.15"
"Jun 19, 2008","54.02","54.02","54.02","54.02","-0.15"
"Jun 18, 2008","54.10","54.10","54.10","54.10","-0.39"
"Jun 17, 2008","54.31","54.31","54.31","54.31","-0.20"
"Jun 16, 2008","54.42","54.42","54.42","54.42","0.13"
"Jun 13, 2008","54.35","54.35","54.35","54.35","0.67"
"Jun 12, 2008","53.99","53.99","53.99","53.99","-0.15"
"Jun 11, 2008","54.07","54.07","54.07","54.07","-0.83"
"Jun 10, 2008","54.52","54.52","54.52","54.52","-0.66"
"Jun 09, 2008","54.88","54.88","54.88","54.88","0.00"
"Jun 06, 2008","54.88","54.88","54.88","54.88","-1.65"
"Jun 05, 2008","55.80","55.80","55.80","55.80","1.25"
"Jun 04, 2008","55.11","55.11","55.11","55.11","-0.33"
"Jun 03, 2008","55.29","55.29","55.29","55.29","-0.14"
"Jun 02, 2008","55.37","55.37","55.37","55.37","-0.49"
"May 30, 2008","55.64","55.64","55.64","55.64","0.20"
"May 29, 2008","55.53","55.53","55.53","55.53","0.05"
"May 28, 2008","55.50","55.50","55.50","55.50","0.16"
"May 27, 2008","55.41","55.41","55.41","55.41","0.04"
"May 23, 2008","55.39","55.39","55.39","55.39","-0.77"
"May 22, 2008","55.82","55.82","55.82","55.82","0.00"
